"Name","epoch/val_categorical_accuracy (Max)","epoch/categorical_accuracy (Max)","State","Notes","User","Tags","Created","Runtime","Sweep","T_max","epochs","features","max_lr","min_lr","scheduler","train_size","unique_classes","val_size","video_length","epoch/categorical_crossentropy","epoch/epoch","epoch/learning_rate","epoch/loss","epoch/val_categorical_crossentropy","epoch/val_loss"
"RK-GRU16-LR-Dense256-gelu-fs=36-cls=5","0.7250000238418579","0.8387500047683716","finished","Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7fbea836f890>","mlewand","","2024-04-23T04:19:53.000Z","1945","","101","200","reduced-LipsEyesHandsPose-scaled","0.0001","0.00005","cosineAnnealer","1600","5","400","36","","199","0.000025072540665860288","0.9353375434875488","","1.1209341287612915"
"RK-LSTM512-LR-Dense256-fs=36-cls=5","0.737500011920929","1","finished","Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7fbe10760e50>","mlewand","","2024-04-23T03:49:17.000Z","1834","","101","200","reduced-LipsEyesHandsPose-scaled","0.0001","0.00005","cosineAnnealer","1600","5","400","36","","199","0.000025072540665860288","0.6816275119781494","","1.1728613376617432"
"RK-LSTM256-LR-Dense256-fs=36-cls=5","0.762499988079071","1","finished","Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7fbf3f2e1650>","mlewand","","2024-04-23T03:18:20.000Z","1854","","101","200","reduced-LipsEyesHandsPose-scaled","0.0001","0.00005","cosineAnnealer","1600","5","400","36","","199","0.000025072540665860288","0.6885671019554138","","1.1456927061080933"
"RK-LSTM128-LR-Dense256-fs=36-cls=5","0.7099999785423279","0.9993749856948853","finished","Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7fbea049b690>","mlewand","","2024-04-23T02:47:34.000Z","1844","","101","200","reduced-LipsEyesHandsPose-scaled","0.0001","0.00005","cosineAnnealer","1600","5","400","36","","199","0.000025072540665860288","0.7009971141815186","","1.2474126815795898"
"RK-LSTM64-LR-Dense256-fs=36-cls=5","0.7049999833106995","0.9918749928474426","finished","Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7fbe9027c9d0>","mlewand","","2024-04-23T02:15:52.000Z","1900","","101","200","reduced-LipsEyesHandsPose-scaled","0.0001","0.00005","cosineAnnealer","1600","5","400","36","","199","0.000025072540665860288","0.7265727519989014","","1.2710036039352417"
"RK-LSTM32-LR-Dense256-fs=36-cls=5","0.7225000262260437","0.934374988079071","finished","Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7fbea0137090>","mlewand","","2024-04-23T01:43:46.000Z","1924","","101","200","reduced-LipsEyesHandsPose-scaled","0.0001","0.00005","cosineAnnealer","1600","5","400","36","","199","0.000025072540665860288","0.8277866244316101","","1.2081689834594729"
"RK-LSTM16-LR-Dense256-fs=36-cls=5","0.6850000023841858","0.8412500023841858","finished","Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7fbea0359090>","mlewand","","2024-04-23T01:11:41.000Z","1923","","101","200","reduced-LipsEyesHandsPose-scaled","0.0001","0.00005","cosineAnnealer","1600","5","400","36","","199","0.000025072540665860288","0.9395332932472228","","1.266178846359253"
"RK-LSTM16-LR-Dense256-fs=15-cls=3","0.5274999737739563","0.6343749761581421","crashed","Model summary : 
<Sequential name=sequential_5, built=True>","mlewand","","2024-04-23T00:47:45.000Z","1592","","101","200","reduced-LipsEyesHandsPose-scaled","0.0001","0.00005","cosineAnnealer","1600","5","400","36","","28","","1.2351880073547363","","1.3125211000442505"
"AK-GRU64-LR-Dense256-gelu-cls=5","0.8166666626930237","0.9823529124259948","finished","Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7f62ba92cb10>","mlewand","","2024-04-22T21:03:51.000Z","378","","101","200","all","0.0001","0.00005","cosineAnnealer","1700","5","300","30","","199","0.000025072540665860288","0.1396152675151825","","0.8484285473823547"
"AK-BGRU64-LR-Dense256-gelu-cls=5","0.8033333420753479","0.9923529624938964","finished","Model summary : 
<keras.src.engine.sequential.Sequential object at 0x7f6262bd2790>","mlewand","","2024-04-22T20:54:40.000Z","487","","101","200","all","0.0001","0.00005","cosineAnnealer","1700","5","300","30","","199","0.000025072540665860288","0.11271794140338898","","0.8174622654914856"
